">epoch=140, lrate=0.001, train_error=0.422, train_acc=0.769, test_error=0.523, test_acc=0.176"
">epoch=141, lrate=0.001, train_error=0.419, train_acc=0.769, test_error=0.521, test_acc=0.176"
">epoch=142, lrate=0.001, train_error=0.416, train_acc=0.771, test_error=0.520, test_acc=0.176"
">epoch=143, lrate=0.001, train_error=0.414, train_acc=0.771, test_error=0.522, test_acc=0.176"
">epoch=144, lrate=0.001, train_error=0.412, train_acc=0.773, test_error=0.521, test_acc=0.176"
">epoch=145, lrate=0.001, train_error=0.411, train_acc=0.775, test_error=0.523, test_acc=0.176"
">epoch=146, lrate=0.001, train_error=0.410, train_acc=0.776, test_error=0.525, test_acc=0.176"
">epoch=147, lrate=0.001, train_error=0.408, train_acc=0.776, test_error=0.527, test_acc=0.176"
">epoch=148, lrate=0.001, train_error=0.407, train_acc=0.776, test_error=0.529, test_acc=0.176"
">epoch=149, lrate=0.001, train_error=0.407, train_acc=0.776, test_error=0.531, test_acc=0.175"
">epoch=150, lrate=0.001, train_error=0.406, train_acc=0.777, test_error=0.533, test_acc=0.175"
">epoch=151, lrate=0.001, train_error=0.406, train_acc=0.778, test_error=0.535, test_acc=0.175"
">epoch=152, lrate=0.001, train_error=0.405, train_acc=0.779, test_error=0.535, test_acc=0.174"
">epoch=153, lrate=0.001, train_error=0.405, train_acc=0.779, test_error=0.534, test_acc=0.174"
">epoch=154, lrate=0.001, train_error=0.405, train_acc=0.779, test_error=0.534, test_acc=0.174"
">epoch=155, lrate=0.001, train_error=0.406, train_acc=0.779, test_error=0.535, test_acc=0.174"
">epoch=156, lrate=0.001, train_error=0.406, train_acc=0.779, test_error=0.533, test_acc=0.174"
">epoch=157, lrate=0.001, train_error=0.407, train_acc=0.778, test_error=0.532, test_acc=0.175"
">epoch=158, lrate=0.001, train_error=0.408, train_acc=0.779, test_error=0.530, test_acc=0.175"
">epoch=159, lrate=0.001, train_error=0.409, train_acc=0.779, test_error=0.529, test_acc=0.174"
">epoch=160, lrate=0.001, train_error=0.410, train_acc=0.779, test_error=0.528, test_acc=0.174"
">epoch=161, lrate=0.001, train_error=0.411, train_acc=0.779, test_error=0.528, test_acc=0.174"
">epoch=162, lrate=0.001, train_error=0.412, train_acc=0.778, test_error=0.528, test_acc=0.174"
">epoch=163, lrate=0.001, train_error=0.413, train_acc=0.778, test_error=0.528, test_acc=0.174"
">epoch=164, lrate=0.001, train_error=0.414, train_acc=0.777, test_error=0.527, test_acc=0.175"
">epoch=165, lrate=0.001, train_error=0.415, train_acc=0.776, test_error=0.526, test_acc=0.175"
">epoch=166, lrate=0.001, train_error=0.416, train_acc=0.775, test_error=0.525, test_acc=0.175"
">epoch=167, lrate=0.001, train_error=0.417, train_acc=0.776, test_error=0.526, test_acc=0.175"
">epoch=168, lrate=0.001, train_error=0.417, train_acc=0.775, test_error=0.526, test_acc=0.176"
">epoch=169, lrate=0.001, train_error=0.418, train_acc=0.775, test_error=0.527, test_acc=0.176"
">epoch=170, lrate=0.001, train_error=0.418, train_acc=0.773, test_error=0.527, test_acc=0.177"
