">epoch=106, lrate=0.001, train_error=0.427, train_acc=0.765, test_error=0.611, test_acc=0.663"
">epoch=107, lrate=0.001, train_error=0.427, train_acc=0.765, test_error=0.608, test_acc=0.665"
">epoch=108, lrate=0.001, train_error=0.428, train_acc=0.765, test_error=0.604, test_acc=0.667"
">epoch=109, lrate=0.001, train_error=0.428, train_acc=0.764, test_error=0.601, test_acc=0.669"
">epoch=110, lrate=0.001, train_error=0.428, train_acc=0.766, test_error=0.596, test_acc=0.674"
">epoch=111, lrate=0.001, train_error=0.429, train_acc=0.765, test_error=0.592, test_acc=0.674"
">epoch=112, lrate=0.001, train_error=0.430, train_acc=0.763, test_error=0.587, test_acc=0.677"
">epoch=113, lrate=0.001, train_error=0.431, train_acc=0.763, test_error=0.584, test_acc=0.679"
">epoch=114, lrate=0.001, train_error=0.431, train_acc=0.762, test_error=0.581, test_acc=0.681"
">epoch=115, lrate=0.001, train_error=0.432, train_acc=0.763, test_error=0.581, test_acc=0.678"
">epoch=116, lrate=0.001, train_error=0.433, train_acc=0.762, test_error=0.579, test_acc=0.680"
">epoch=117, lrate=0.001, train_error=0.434, train_acc=0.762, test_error=0.577, test_acc=0.681"
">epoch=118, lrate=0.001, train_error=0.435, train_acc=0.762, test_error=0.577, test_acc=0.679"
">epoch=119, lrate=0.001, train_error=0.436, train_acc=0.762, test_error=0.573, test_acc=0.684"
">epoch=120, lrate=0.001, train_error=0.437, train_acc=0.761, test_error=0.571, test_acc=0.685"
">epoch=121, lrate=0.001, train_error=0.439, train_acc=0.760, test_error=0.570, test_acc=0.690"
">epoch=122, lrate=0.001, train_error=0.440, train_acc=0.758, test_error=0.566, test_acc=0.692"
">epoch=123, lrate=0.001, train_error=0.441, train_acc=0.757, test_error=0.562, test_acc=0.694"
">epoch=124, lrate=0.001, train_error=0.442, train_acc=0.757, test_error=0.559, test_acc=0.695"
">epoch=125, lrate=0.001, train_error=0.443, train_acc=0.757, test_error=0.557, test_acc=0.697"
">epoch=126, lrate=0.001, train_error=0.443, train_acc=0.757, test_error=0.552, test_acc=0.698"
">epoch=127, lrate=0.001, train_error=0.443, train_acc=0.757, test_error=0.549, test_acc=0.699"
">epoch=128, lrate=0.001, train_error=0.442, train_acc=0.756, test_error=0.544, test_acc=0.702"
">epoch=129, lrate=0.001, train_error=0.441, train_acc=0.756, test_error=0.540, test_acc=0.705"
">epoch=130, lrate=0.001, train_error=0.440, train_acc=0.756, test_error=0.538, test_acc=0.707"
">epoch=131, lrate=0.001, train_error=0.440, train_acc=0.757, test_error=0.535, test_acc=0.710"
">epoch=132, lrate=0.001, train_error=0.439, train_acc=0.758, test_error=0.531, test_acc=0.711"
">epoch=133, lrate=0.001, train_error=0.438, train_acc=0.759, test_error=0.528, test_acc=0.711"
">epoch=134, lrate=0.001, train_error=0.436, train_acc=0.759, test_error=0.526, test_acc=0.709"
">epoch=135, lrate=0.001, train_error=0.434, train_acc=0.761, test_error=0.524, test_acc=0.712"
